jornada,match,result,liga
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_18/,Atlético - Getafe en directo,2 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_20/,Getafe - Athletic en directo,2 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_18/,Las Palmas - Eibar en directo,1 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_18/,Sevilla - Betis en directo,3 - 5,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_18/,Valencia - Girona en directo,2 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_18/,Athletic - Alavés en directo,2 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_18/,Barcelona - Levante en directo,3 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_18/,Celta - Real Madrid en directo,2 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_18/,Leganés - R. Sociedad en directo,1 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_18/,Villarreal - Deportivo en directo,1 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_18/,Málaga - Espanyol en directo,0 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_25/,Deportivo - Espanyol en directo,0 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_22/,R. Sociedad - Deportivo en directo,5 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_20/,Atlético - Girona en directo,1 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_20/,Espanyol - Sevilla en directo,0 - 3,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_20/,Las Palmas - Valencia en directo,2 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_20/,Villarreal - Levante en directo,2 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_20/,Alavés - Leganés en directo,2 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_20/,Betis - Barcelona en directo,0 - 5,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_20/,Real Madrid - Deportivo en directo,7 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_20/,R. Sociedad - Celta en directo,1 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_20/,Eibar - Málaga en directo,1 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_25/,Barcelona - Girona en directo,6 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_25/,Celta - Eibar en directo,2 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_25/,Leganés - Las Palmas en directo,0 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_25/,Real Madrid - Alavés en directo,4 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_25/,Athletic - Málaga en directo,2 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_25/,Sevilla - Atlético en directo,2 - 5,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_25/,Valencia - R. Sociedad en directo,2 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_25/,Villarreal - Getafe en directo,1 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_25/,Levante - Betis en directo,0 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_22/,Alavés - Celta en directo,2 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_22/,Eibar - Sevilla en directo,5 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_22/,Levante - Real Madrid en directo,2 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_22/,Betis - Villarreal en directo,2 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_22/,Atlético - Valencia en directo,1 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_22/,Espanyol - Barcelona en directo,1 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_22/,Getafe - Leganés en directo,0 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_22/,Girona - Athletic en directo,2 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_22/,Las Palmas - Málaga en directo,1 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_24/,Girona - Leganés en directo,3 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_24/,Alavés - Deportivo en directo,1 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_24/,Eibar - Barcelona en directo,0 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_24/,Las Palmas - Sevilla en directo,1 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_24/,Málaga - Valencia en directo,1 - 2,primera
